,Name of Institution,Default Rate: 2 yr
117,CHAFFEY COMMUNITY COLLEGE,23.8
118,CHAPMAN UNIVERSITY,3.5
119,CHURCH DIVINITY SCHOOL OF THE PACIFIC,0.0
120,CITRUS COMMUNITY COLLEGE,15.9
121,CLAREMONT GRADUATE UNIVERSITY,6.1
122,CLAREMONT MCKENNA COLLEGE,0.0
123,HARVEY MUDD COLLEGE,0.0
124,PITZER COLLEGE,5.0
125,POMONA COLLEGE,0.0
126,SCRIPPS COLLEGE,1.0
127,WEST HILLS COMMUNITY COLLEGE,27.9
128,COGSWELL POLYTECHNICAL COLLEGE,9.4
129,COLLEGE OF MARIN,21.1
130,NOTRE DAME DE NAMUR UNIVERSITY,7.6
131,COLLEGE OF SAN MATEO,13.3
132,COLLEGE OF THE DESERT,25.3
133,HOLY NAMES UNIVERSITY,11.3
134,COLLEGE OF THE REDWOODS,28.6
135,COLLEGE OF THE SEQUOIAS,14.1
136,COLLEGE OF THE SISKIYOUS,27.1
137,CONTRA COSTA COLLEGE,16.0
138,DIABLO VALLEY COLLEGE,8.4
139,CUESTA COLLEGE,11.6
140,CYPRESS COLLEGE,20.3
141,DOMINICAN UNIVERSITY OF CALIFORNIA,6.0
142,EL CAMINO COLLEGE,19.4
143,FOOTHILL COLLEGE,15.6
144,FULLER THEOLOGICAL SEMINARY,2.4
145,FULLERTON COLLEGE,22.2
146,GAVILAN COLLEGE,36.0
147,GLENDALE COMMUNITY COLLEGE,15.0
148,GOLDEN GATE UNIVERSITY,5.6
149,GOLDEN WEST COLLEGE,16.0
150,GRADUATE THEOLOGICAL UNION,5.0
151,GROSSMONT COLLEGE,19.8
152,HARTNELL COMMUNITY COLLEGE,17.6
153,HUMPHREYS COLLEGE,15.6
154,IMPERIAL VALLEY COLLEGE,0.0
155,LA SIERRA UNIVERSITY,7.4
156,UNIVERSITY OF LA VERNE,5.0
157,LASSEN COLLEGE,37.7
158,LOMA LINDA UNIVERSITY,1.5
159,LONG BEACH CITY COLLEGE,19.0
160,MASTER'S COLLEGE & SEMINARY (THE),0.9
161,LOS ANGELES CITY COLLEGE,19.5
162,LOS ANGELES HARBOR COLLEGE,11.5
163,LOS ANGELES PIERCE COLLEGE,18.0
164,LOS ANGELES TRADE-TECHNICAL COLLEGE,0.0
165,LOS ANGELES VALLEY COLLEGE,18.4
166,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,4.9
167,SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY,0.0
168,AMERICAN RIVER COLLEGE,27.5
169,SACRAMENTO CITY COLLEGE,16.1
170,MENLO COLLEGE,15.6
171,MERCED COMMUNITY COLLEGE,0.0
172,MILLS COLLEGE,4.9
173,MIRACOSTA COLLEGE,15.9
174,MODESTO JUNIOR COLLEGE,0.0
175,MONTEREY PENINSULA COLLEGE,21.2
176,MOUNT ST. MARY'S COLLEGE,4.4
177,MOUNT SAN ANTONIO COLLEGE,17.1
178,MT. SAN JACINTO COLLEGE,26.5
179,NAPA VALLEY COLLEGE,10.7
180,OCCIDENTAL COLLEGE,2.3
181,ORANGE COAST COLLEGE,14.0
182,OTIS COLLEGE OF ART & DESIGN,12.6
183,HOPE INTERNATIONAL UNIVERSITY,8.6
184,FRESNO PACIFIC UNIVERSITY,7.1
185,PACIFIC LUTHERAN THEOLOGICAL SEMINARY,4.0
186,PACIFIC OAKS COLLEGE,11.7
187,PACIFIC SCHOOL OF RELIGION,5.5
188,PACIFIC UNION COLLEGE,9.8
189,PALO VERDE COLLEGE,0.0
190,PALOMAR COLLEGE,17.1
191,PASADENA CITY COLLEGE,10.7
192,POINT LOMA NAZARENE UNIVERSITY,3.1
193,LANEY COLLEGE,22.5
194,MERRITT COLLEGE,21.8
195,PORTERVILLE COLLEGE,0.0
196,RIO HONDO COMMUNITY COLLEGE,15.4
197,RIVERSIDE CITY COLLEGE,14.6
198,SAN BERNARDINO VALLEY COLLEGE,21.1
199,SAN DIEGO CITY COLLEGE,17.2
200,SAN DIEGO MESA COLLEGE,10.7
201,SAN FRANCISCO CONSERVATORY OF MUSIC,5.4
202,SAN FRANCISCO THEOLOGICAL SEMINARY,12.5
203,SAN JOAQUIN DELTA COLLEGE,22.2
204,WILLIAM JESSUP UNIVERSITY,5.6
205,SAN JOSE CITY COLLEGE,20.0
206,SANTA ANA COLLEGE,17.3
207,SANTA BARBARA CITY COLLEGE,20.7
208,SANTA MONICA COLLEGE,16.3
209,SANTA ROSA JUNIOR COLLEGE,20.7
210,CLAREMONT SCHOOL OF THEOLOGY,4.6
211,SHASTA COLLEGE,27.3
212,SIERRA COLLEGE,21.0
213,SIMPSON UNIVERSITY,4.9
214,SOLANO COMMUNITY COLLEGE,25.1
215,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,4.9
216,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,16.8
217,SOUTHWESTERN LAW SCHOOL,2.6
218,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,16.6
219,SAINT MARY'S COLLEGE OF CALIFORNIA,7.0
220,STANFORD UNIVERSITY,1.0
221,FRESNO CITY COLLEGE,29.6
222,REEDLEY COLLEGE,21.0
223,TAFT COLLEGE,0.0
224,"UNIVERSITY OF CALIFORNIA, BERKELEY",2.6
225,"UNIVERSITY OF CALIFORNIA, DAVIS",3.0
226,"UNIVERSITY OF CALIFORNIA, IRVINE",2.7
227,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",3.4
228,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",4.7
229,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",3.0
230,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1.0
231,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",2.6
232,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",3.7
233,UNIVERSITY OF REDLANDS,2.5
234,UNIVERSITY OF SAN FRANCISCO,4.4
235,SANTA CLARA UNIVERSITY,2.1
236,UNIVERSITY OF SOUTHERN CALIFORNIA,2.5
237,UNIVERSITY OF THE PACIFIC,2.3
238,VENTURA COLLEGE,22.3
239,VICTOR VALLEY COMMUNITY COLLEGE,31.0
240,WEST VALLEY COLLEGE,10.8
241,CORBAN UNIVERSITY,3.3
242,WESTMONT COLLEGE,1.9
243,WHITTIER COLLEGE,5.9
244,WOODBURY UNIVERSITY,7.9
245,YUBA COLLEGE,18.6
246,ADAMS STATE UNIVERSITY,19.2
247,ARAPAHOE COMMUNITY COLLEGE,17.1
248,COLORADO COLLEGE,1.9
249,COLORADO SCHOOL OF MINES,3.2
250,UNIVERSITY OF NORTHERN COLORADO,7.6
251,COLORADO STATE UNIVERSITY,3.1
252,DENVER SEMINARY,3.0
253,FORT LEWIS COLLEGE,14.6
254,ILIFF SCHOOL OF THEOLOGY,4.2
255,LAMAR COMMUNITY COLLEGE,29.5
256,COLORADO MESA UNIVERSITY,15.6
257,COLORADO NORTHWESTERN COMMUNITY COLLEGE,15.4
258,METROPOLITAN STATE UNIVERSITY OF DENVER,15.5
259,NORTHEASTERN JUNIOR COLLEGE,23.9
260,OTERO JUNIOR COLLEGE,38.2
261,REGIS UNIVERSITY,6.5
262,COLORADO STATE UNIVERSITY-PUEBLO,15.0
263,TRINIDAD STATE JUNIOR COLLEGE,29.8
264,UNIVERSITY OF COLORADO BOULDER,3.6
265,UNIVERSITY OF DENVER,4.1
266,WESTERN STATE COLORADO UNIVERSITY,11.8
267,ALBERTUS MAGNUS COLLEGE,8.8
268,CENTRAL CONNECTICUT STATE UNIVERSITY,5.5
269,CONNECTICUT COLLEGE,2.4
270,WESTERN CONNECTICUT STATE UNIVERSITY,9.4
271,FAIRFIELD UNIVERSITY,1.7
272,HARTFORD SEMINARY,0.0
273,HOLY APOSTLES COLLEGE & SEMINARY,0.0
274,MANCHESTER COMMUNITY COLLEGE,2.1
275,MITCHELL COLLEGE,17.7
276,UNIVERSITY OF NEW HAVEN,4.7
277,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,2.0
278,NORWALK COMMUNITY COLLEGE,14.5
279,POST UNIVERSITY,18.5
280,QUINNIPIAC UNIVERSITY,1.5
281,SACRED HEART UNIVERSITY,3.7
282,SOUTHERN CONNECTICUT STATE UNIVERSITY,7.0
283,UNIVERSITY OF SAINT JOSEPH,5.9
284,TRINITY COLLEGE,1.8
285,UNIVERSITY OF BRIDGEPORT,14.7
286,UNIVERSITY OF CONNECTICUT,3.0
287,UNIVERSITY OF HARTFORD,6.5
288,WESLEYAN UNIVERSITY,0.7
289,EASTERN CONNECTICUT STATE UNIVERSITY,6.5
290,YALE UNIVERSITY,1.4
291,DELAWARE STATE UNIVERSITY,13.5
292,GOLDEY-BEACOM COLLEGE,10.6
293,UNIVERSITY OF DELAWARE,2.8
294,WESLEY COLLEGE,16.1
295,AMERICAN UNIVERSITY (THE),2.9
296,CAPITOL COLLEGE,7.3
297,CATHOLIC UNIVERSITY OF AMERICA (THE),1.7
298,UNIVERSITY OF THE DISTRICT OF COLUMBIA,14.2
299,GALLAUDET UNIVERSITY,4.4
300,GEORGE WASHINGTON UNIVERSITY,1.5
301,GEORGETOWN UNIVERSITY,1.3
302,HOWARD UNIVERSITY,7.2
303,STRAYER UNIVERSITY,13.8
304,TRINITY COLLEGE,13.1
305,WESLEY THEOLOGICAL SEMINARY,1.2
306,BARRY UNIVERSITY,5.6
307,BETHUNE COOKMAN UNIVERSITY,22.5
308,SAINT THOMAS UNIVERSITY,8.3
309,FLORIDA INSTITUTE OF TECHNOLOGY,9.0
310,BREVARD COMMUNITY COLLEGE,19.6
311,COLLEGE OF CENTRAL FLORIDA,12.5
312,CHIPOLA COLLEGE,12.7
313,CLEARWATER CHRISTIAN COLLEGE,5.1
314,DAYTONA STATE COLLEGE,29.6
315,EDISON STATE COLLEGE,20.1
316,EDWARD WATERS COLLEGE,32.6
317,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,6.1
318,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,18.3
319,FLORIDA ATLANTIC UNIVERSITY,7.6
320,FLORIDA COLLEGE,8.5
321,FLORIDA STATE COLLEGE AT JACKSONVILLE,18.3
322,FLORIDA KEYS COMMUNITY COLLEGE,21.5
323,FLORIDA MEMORIAL UNIVERSITY,15.9
324,ECKERD COLLEGE,7.9
325,FLORIDA SOUTHERN COLLEGE,9.5
326,FLORIDA STATE UNIVERSITY,5.2
327,GULF COAST STATE COLLEGE,20.0
328,INDIAN RIVER STATE COLLEGE,21.3
329,JACKSONVILLE UNIVERSITY,13.0
330,JONES COLLEGE,11.4
331,EVEREST UNIVERSITY,31.3
332,BROWARD COLLEGE,14.9
333,FLORIDA GATEWAY COLLEGE,20.4
334,LAKE SUMTER STATE COLLEGE,17.0
335,"STATE COLLEGE OF FLORIDA, MANATEE-SARASOTA",25.2
336,LYNN UNIVERSITY,8.3
337,MIAMI DADE COLLEGE,19.4
338,NORTH FLORIDA COMMUNITY COLLEGE,0.0
339,NOVA SOUTHEASTERN UNIVERSITY,3.5
340,NORTHWEST FLORIDA STATE COLLEGE,18.4
341,PALM BEACH STATE COLLEGE,18.1
342,PENSACOLA STATE COLLEGE,16.6
343,POLK STATE COLLEGE,15.1
344,ROLLINS COLLEGE,3.7
345,SANTA FE COLLEGE,15.0
346,SEMINOLE STATE COLLEGE OF FLORIDA,21.0
347,SOUTHEASTERN UNIVERSITY,10.6
348,SOUTH FLORIDA STATE COLLEGE,20.4
349,SAINT JOHNS RIVER STATE COLLEGE,22.0
350,SAINT LEO UNIVERSITY,6.8
351,ST. PETERSBURG COLLEGE,20.6
352,STETSON UNIVERSITY,3.6
353,TALLAHASSEE COMMUNITY COLLEGE,25.9
354,EVEREST UNIVERSITY,28.1
355,UNIVERSITY OF FLORIDA,3.0
356,UNIVERSITY OF MIAMI,2.7
357,UNIVERSITY OF SOUTH FLORIDA,9.8
358,UNIVERSITY OF TAMPA,8.4
359,WEBBER INTERNATIONAL UNIVERSITY,18.0
360,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,20.7
361,AGNES SCOTT COLLEGE,4.7
362,DARTON STATE COLLEGE,21.1
363,ALBANY STATE UNIVERSITY,12.3
364,ANDREW COLLEGE,29.6
365,ARMSTRONG ATLANTIC STATE UNIVERSITY,9.1
366,POINT UNIVERSITY,10.4
367,BERRY COLLEGE,4.8
368,THOMAS UNIVERSITY,9.0
369,BRENAU UNIVERSITY,7.5
370,BREWTON PARKER COLLEGE,14.2
371,COLLEGE OF COASTAL GEORGIA,21.8
372,CLARK ATLANTA UNIVERSITY,14.2
373,COLUMBIA THEOLOGICAL SEMINARY,0.0
