,Name of Institution,Default Rate: 2 yr
1595,WASHINGTON AND JEFFERSON COLLEGE,3.3
1596,WAYNESBURG UNIVERSITY,4.0
1597,WESTMINSTER COLLEGE,3.9
1598,WESTMINSTER THEOLOGICAL SEMINARY,1.8
1599,WILKES UNIVERSITY,5.9
1600,PENNSYLVANIA COLLEGE OF TECHNOLOGY,9.5
1601,WILSON COLLEGE,6.4
1602,YORK COLLEGE OF PENNSYLVANIA,2.6
1603,BROWN UNIVERSITY,1.5
1604,BRYANT UNIVERSITY,2.3
1605,JOHNSON & WALES UNIVERSITY,13.5
1606,PROVIDENCE COLLEGE,1.6
1607,RHODE ISLAND COLLEGE,7.9
1608,COMMUNITY COLLEGE OF RHODE ISLAND,13.8
1609,RHODE ISLAND SCHOOL OF DESIGN,3.9
1610,ROGER WILLIAMS UNIVERSITY,4.1
1611,SALVE REGINA UNIVERSITY,4.2
1612,UNIVERSITY OF RHODE ISLAND,5.5
1613,ALLEN UNIVERSITY,27.1
1614,ANDERSON UNIVERSITY,7.6
1615,CHARLESTON SOUTHERN UNIVERSITY,6.0
1616,BENEDICT COLLEGE,29.3
1617,BOB JONES UNIVERSITY,3.6
1618,SOUTHERN WESLEYAN UNIVERSITY,12.5
1619,"CITADEL, THE MILITARY COLLEGE OF SOUTH CAROLINA",3.8
1620,CLAFLIN UNIVERSITY,15.2
1621,CLEMSON UNIVERSITY,2.3
1622,UNIVERSITY OF SOUTH CAROLINA - SUMTER,8.8
1623,COKER COLLEGE,5.5
1624,COLLEGE OF CHARLESTON,4.1
1625,COLUMBIA INTERNATIONAL UNIVERSITY,2.5
1626,COLUMBIA COLLEGE,7.4
1627,CONVERSE COLLEGE,3.7
1628,ERSKINE COLLEGE,2.7
1629,FURMAN UNIVERSITY,1.6
1630,LANDER UNIVERSITY,4.3
1631,LIMESTONE COLLEGE,13.7
1632,LUTHERAN THEOLOGICAL SOUTHERN SEMINARY,0.0
1633,MEDICAL UNIVERSITY OF SOUTH CAROLINA,0.7
1634,MORRIS COLLEGE,27.5
1635,NEWBERRY COLLEGE,8.9
1636,NORTH GREENVILLE UNIVERSITY,5.6
1637,PRESBYTERIAN COLLEGE,2.1
1638,SOUTH CAROLINA STATE UNIVERSITY,18.8
1639,SPARTANBURG METHODIST COLLEGE,13.4
1640,UNIVERSITY OF SOUTH CAROLINA - COLUMBIA,3.0
1641,UNIVERSITY OF SOUTH CAROLINA - AIKEN,5.8
1642,UNIVERSITY OF SOUTH CAROLINA - BEAUFORT,9.2
1643,COASTAL CAROLINA UNIVERSITY,7.1
1644,UNIVERSITY OF SOUTH CAROLINA - LANCASTER,8.1
1645,UNIVERSITY OF SOUTH CAROLINA - SALKEHATCHIE,13.4
1646,VOORHEES COLLEGE,15.9
1647,WINTHROP UNIVERSITY,7.1
1648,WOFFORD COLLEGE,0.6
1649,AUGUSTANA COLLEGE,4.0
1650,BLACK HILLS STATE UNIVERSITY,8.7
1651,DAKOTA WESLEYAN UNIVERSITY,13.3
1652,DAKOTA STATE UNIVERSITY,6.9
1653,MOUNT MARTY COLLEGE,6.0
1654,NORTHERN STATE UNIVERSITY,10.0
1655,PRESENTATION COLLEGE,11.0
1656,UNIVERSITY OF SIOUX FALLS,5.0
1657,SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,5.1
1658,SOUTH DAKOTA STATE UNIVERSITY,4.6
1659,UNIVERSITY OF SOUTH DAKOTA,6.3
1660,AQUINAS COLLEGE,7.5
1661,AUSTIN PEAY STATE UNIVERSITY,16.6
1662,BELMONT UNIVERSITY,4.1
1663,BETHEL UNIVERSITY,16.2
1664,CARSON - NEWMAN UNIVERSITY,10.7
1665,CHRISTIAN BROTHERS UNIVERSITY,12.1
1666,COLUMBIA STATE COMMUNITY COLLEGE,20.2
1667,COVENANT COLLEGE,6.3
1668,CUMBERLAND UNIVERSITY,13.7
1669,LIPSCOMB UNIVERSITY,7.2
1670,EAST TENNESSEE STATE UNIVERSITY,14.1
1671,FISK UNIVERSITY,18.4
1672,FREED HARDEMAN UNIVERSITY,10.8
1673,HIWASSEE COLLEGE,24.7
1674,JOHNSON UNIVERSITY,6.3
1675,KING COLLEGE,8.9
1676,LANE COLLEGE,21.5
1677,LEE UNIVERSITY,11.1
1678,LEMOYNE - OWEN COLLEGE,22.9
1679,LINCOLN MEMORIAL UNIVERSITY,7.1
1680,MARTIN METHODIST COLLEGE,26.6
1681,MARYVILLE COLLEGE,9.3
1682,MEHARRY MEDICAL COLLEGE,6.2
1683,MEMPHIS COLLEGE OF ART,18.0
1684,UNIVERSITY OF MEMPHIS (THE),9.2
1685,MIDDLE TENNESSEE STATE UNIVERSITY,12.3
1686,MILLIGAN COLLEGE,4.0
1687,SOUTHERN COLLEGE OF OPTOMETRY,0.0
1688,SOUTHERN ADVENTIST UNIVERSITY,5.8
1689,RHODES COLLEGE,1.8
1690,TENNESSEE STATE UNIVERSITY,13.7
1691,TENNESSEE TECHNOLOGICAL UNIVERSITY,3.9
1692,TENNESSEE TEMPLE UNIVERSITY,22.4
1693,TENNESSEE WESLEYAN COLLEGE,13.1
1694,TREVECCA NAZARENE UNIVERSITY,7.6
1695,TUSCULUM COLLEGE,13.0
1696,UNION UNIVERSITY,6.2
1697,UNIVERSITY OF TENNESSEE - CHATTANOOGA,12.1
1698,UNIVERSITY OF TENNESSEE,8.0
1699,UNIVERSITY OF TENNESSEE - MARTIN,16.1
1700,UNIVERSITY OF THE SOUTH (THE),3.6
1701,VANDERBILT UNIVERSITY,2.1
1702,BRYAN COLLEGE,7.3
1703,ABILENE CHRISTIAN UNIVERSITY,10.2
1704,ALVIN COMMUNITY COLLEGE,23.2
1705,AMARILLO COLLEGE,19.7
1706,ANGELO STATE UNIVERSITY,15.6
1707,AUSTIN COLLEGE,3.8
1708,AUSTIN PRESBYTERIAN THEOLOGICAL SEMINARY,10.7
1709,BAYLOR UNIVERSITY,6.9
1710,COASTAL BEND COLLEGE,28.5
1711,BLINN COLLEGE,19.9
1712,CISCO COLLEGE,22.3
1713,CLARENDON COLLEGE,28.2
1714,COMMONWEALTH INSTITUTE OF FUNERAL SERVICE,17.6
1715,CONCORDIA UNIVERSITY TEXAS,8.5
1716,NORTH CENTRAL TEXAS COLLEGE,30.2
1717,DALLAS BAPTIST UNIVERSITY,8.2
1718,CEDAR VALLEY COLLEGE,15.5
1719,DALLAS THEOLOGICAL SEMINARY,1.5
1720,DEL MAR COLLEGE,14.2
1721,EAST TEXAS BAPTIST UNIVERSITY,14.8
1722,TEXAS A&M UNIVERSITY - COMMERCE,9.6
1723,FRANK PHILLIPS COLLEGE,34.1
1724,GRAYSON  COUNTY COLLEGE,23.1
1725,HARDIN-SIMMONS UNIVERSITY,11.9
1726,TRINITY VALLEY COMMUNITY COLLEGE,30.6
1727,HILL COLLEGE,28.4
1728,HOWARD COUNTY JUNIOR COLLEGE DISTRICT,23.8
1729,HOWARD PAYNE UNIVERSITY,14.5
1730,HOUSTON BAPTIST UNIVERSITY,7.7
1731,HUSTON - TILLOTSON UNIVERSITY,30.3
1732,UNIVERSITY OF THE INCARNATE WORD,13.1
1733,JACKSONVILLE COLLEGE,0.0
1734,KILGORE COLLEGE,33.5
1735,LAMAR UNIVERSITY,14.7
1736,LAREDO COMMUNITY COLLEGE,18.6
1737,LEE COLLEGE,21.0
1738,LETOURNEAU UNIVERSITY,6.4
1739,LUBBOCK CHRISTIAN UNIVERSITY,13.5
1740,UNIVERSITY OF MARY HARDIN-BAYLOR,8.8
1741,MCLENNAN COMMUNITY COLLEGE,21.9
1742,MCMURRY UNIVERSITY,17.0
1743,MIDWESTERN STATE UNIVERSITY,10.2
1744,NAVARRO COLLEGE,28.2
1745,UNIVERSITY OF NORTH TEXAS,10.3
1746,OBLATE SCHOOL OF THEOLOGY,0.0
1747,ODESSA COLLEGE,15.8
1748,OUR LADY OF THE LAKE UNIVERSITY,9.8
1749,UNIVERSITY OF TEXAS - PAN AMERICAN,10.6
1750,PANOLA COLLEGE,0.0
1751,PARIS JUNIOR COLLEGE,41.5
1752,PAUL QUINN COLLEGE,22.0
1753,RANGER COLLEGE,32.4
1754,RICE UNIVERSITY,2.1
1755,SAM HOUSTON STATE UNIVERSITY,10.8
1756,SAINT PHILIP'S COLLEGE,23.1
1757,SAN JACINTO COMMUNITY COLLEGE DISTRICT,18.2
1758,SCHREINER UNIVERSITY,11.8
1759,SOUTH PLAINS COLLEGE,20.9
1760,UNIVERSITY OF HOUSTON - DOWNTOWN,14.2
1761,SOUTHERN METHODIST UNIVERSITY,5.9
1762,SOUTHWEST TEXAS JUNIOR COLLEGE,19.6
1763,TEXAS STATE UNIVERSITY-SAN MARCOS,5.7
1764,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,14.2
1765,SOUTHWESTERN CHRISTIAN COLLEGE,43.1
1766,SOUTHWESTERN ADVENTIST UNIVERSITY,15.1
1767,SOUTHWESTERN UNIVERSITY,3.2
1768,SAINT EDWARDS UNIVERSITY,7.5
1769,SAINT MARY'S UNIVERSITY,6.2
1770,STEPHEN F AUSTIN STATE UNIVERSITY,14.4
1771,SUL ROSS STATE UNIVERSITY,15.4
1772,TARRANT COUNTY COLLEGE DISTRICT,16.3
1773,TEMPLE COLLEGE,23.9
1774,TEXARKANA COLLEGE,0.0
1775,PRAIRIE VIEW AGRICULTURAL & MECHANICAL UNIVERSITY,18.7
1776,TARLETON STATE UNIVERSITY,11.3
1777,TEXAS A&M UNIVERSITY,5.0
1778,TEXAS STATE TECHNICAL COLLEGE,29.6
1779,TEXAS CHIROPRACTIC COLLEGE,7.5
1780,TEXAS CHRISTIAN UNIVERSITY,6.1
1781,JARVIS CHRISTIAN COLLEGE,37.5
1782,TEXAS COLLEGE,38.2
1783,TEXAS A&M UNIVERSITY - KINGSVILLE,17.4
1784,TEXAS LUTHERAN UNIVERSITY,6.5
1785,TEXAS SOUTHERN UNIVERSITY,23.9
1786,TEXAS TECH UNIVERSITY,7.5
1787,TEXAS WESLEYAN UNIVERSITY,6.8
1788,TEXAS WOMAN'S UNIVERSITY,8.1
1789,TRINITY UNIVERSITY,3.6
1790,TYLER JUNIOR COLLEGE,23.8
1791,UNIVERSITY OF DALLAS,6.6
1792,UNIVERSITY OF HOUSTON,8.8
1793,UNIVERSITY OF SAINT THOMAS,8.9
1794,UNIVERSITY OF TEXAS AT ARLINGTON,9.5
1795,UNIVERSITY OF TEXAS AT AUSTIN,4.7
1796,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,2.9
1797,UNIVERSITY OF TEXAS AT EL PASO,11.6
1798,VICTORIA COLLEGE,21.2
1799,WAYLAND BAPTIST UNIVERSITY,12.5
1800,WEATHERFORD COLLEGE,19.8
1801,WEST TEXAS A&M UNIVERSITY,11.1
1802,WHARTON COUNTY JUNIOR COLLEGE,18.9
1803,WILEY COLLEGE,24.3
1804,BRIGHAM YOUNG UNIVERSITY,0.9
1805,DIXIE STATE UNIVERSITY,11.0
1806,LATTER DAY SAINTS BUSINESS COLLEGE,6.7
1807,STEVENS HENAGER COLLEGE,24.2
1808,UNIVERSITY OF UTAH,2.6
1809,UTAH STATE UNIVERSITY,4.2
1810,SOUTHERN UTAH UNIVERSITY,5.0
1811,SNOW COLLEGE,8.6
1812,WEBER STATE UNIVERSITY,5.7
1813,WESTMINSTER COLLEGE,3.1
1814,BENNINGTON COLLEGE,2.9
1815,CASTLETON STATE COLLEGE,5.6
1816,CHAMPLAIN COLLEGE,2.9
1817,COLLEGE OF SAINT JOSEPH,4.8
1818,GODDARD COLLEGE,5.9
1819,GREEN MOUNTAIN COLLEGE,10.0
1820,JOHNSON STATE COLLEGE,6.7
1821,LYNDON STATE COLLEGE,8.6
1822,MARLBORO COLLEGE,2.7
1823,MIDDLEBURY COLLEGE,1.7
1824,NORWICH UNIVERSITY,4.4
1825,SOUTHERN VERMONT COLLEGE,9.7
1826,SAINT MICHAEL'S COLLEGE,1.0
1827,UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE,2.5
1828,VERMONT COLLEGE OF FINE ARTS,0.0
1829,VERMONT TECHNICAL COLLEGE,4.0
1830,AVERETT UNIVERSITY,12.1
1831,BLUEFIELD COLLEGE,9.2
1832,BRIDGEWATER COLLEGE,6.3
1833,COLLEGE OF WILLIAM & MARY,1.0
1834,CHRISTOPHER NEWPORT UNIVERSITY,3.5
1835,RICHARD BLAND COLLEGE,26.2
1836,EASTERN MENNONITE UNIVERSITY,4.5
1837,EMORY & HENRY COLLEGE,11.3
1838,FERRUM COLLEGE,21.6
1839,TIDEWATER COMMUNITY COLLEGE,16.7
1840,HAMPDEN SYDNEY COLLEGE,5.3
1841,HAMPTON UNIVERSITY,13.0
1842,HOLLINS UNIVERSITY,4.5
1843,LONGWOOD UNIVERSITY,5.2
1844,LYNCHBURG COLLEGE,6.3
1845,JAMES MADISON UNIVERSITY,2.6
1846,MARY BALDWIN COLLEGE,6.4
1847,MARYMOUNT UNIVERSITY,3.7
1848,AMERICAN NATIONAL UNIVERSITY,13.1
1849,NORTHERN VIRGINIA COMMUNITY COLLEGE,12.3
1850,OLD DOMINION UNIVERSITY,4.6
1851,RADFORD UNIVERSITY,5.1
1852,RANDOLPH - MACON COLLEGE,3.6
1853,RANDOLPH COLLEGE,4.8
1854,VIRGINIA COMMONWEALTH UNIVERSITY,5.0
1855,ROANOKE COLLEGE,4.4
1856,SHENANDOAH UNIVERSITY,5.4
1857,SOUTHERN VIRGINIA UNIVERSITY,4.4
1858,SWEET BRIAR COLLEGE,3.8
1859,UNION PRESBYTERIAN SEMINARY,6.2
1860,UNIVERSITY OF RICHMOND,2.2
1861,UNIVERSITY OF VIRGINIA,2.3
1862,UNIVERSITY OF MARY WASHINGTON,2.1
1863,UNIVERSITY OF VIRGINIA'S COLLEGE AT WISE (THE),11.3
1864,EASTERN SHORE COMMUNITY COLLEGE,0.0
1865,GEORGE MASON UNIVERSITY,2.6
1866,PATRICK HENRY COMMUNITY COLLEGE,0.0
1867,VIRGINIA INTERMONT COLLEGE,11.9
1868,VIRGINIA MILITARY INSTITUTE,2.6
1869,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,1.8
1870,DANVILLE COMMUNITY COLLEGE,17.7
1871,J SARGEANT REYNOLDS COMMUNITY COLLEGE,16.6
1872,VIRGINIA WESTERN COMMUNITY COLLEGE,18.9
1873,WYTHEVILLE COMMUNITY COLLEGE,3.3
1874,VIRGINIA UNIVERSITY OF LYNCHBURG,2.7
1875,VIRGINIA STATE UNIVERSITY,18.3
1876,NORFOLK STATE UNIVERSITY,14.2
1877,VIRGINIA UNION UNIVERSITY,17.7
1878,VIRGINIA WESLEYAN COLLEGE,9.9
1879,WASHINGTON AND LEE UNIVERSITY,2.9
1880,BELLEVUE COLLEGE,10.1
1881,BIG BEND COMMUNITY COLLEGE,17.7
1882,CENTRAL WASHINGTON UNIVERSITY,4.6
1883,CENTRALIA COLLEGE,0.0
1884,CLARK COLLEGE,16.3
1885,COLUMBIA BASIN COLLEGE,13.2
1886,EASTERN WASHINGTON UNIVERSITY,7.2
1887,EVERETT COMMUNITY COLLEGE,20.0
1888,HERITAGE UNIVERSITY,13.6
1889,GONZAGA UNIVERSITY,4.0
1890,GRAYS HARBOR COLLEGE,20.1
1891,GREEN RIVER COMMUNITY COLLEGE,16.4
1892,HIGHLINE COMMUNITY COLLEGE,17.0
1893,LOWER COLUMBIA COLLEGE,27.9
1894,NORTHWEST UNIVERSITY,3.4
1895,OLYMPIC COLLEGE,15.3
1896,PACIFIC LUTHERAN UNIVERSITY,2.9
1897,PENINSULA COLLEGE,15.4
1898,SEATTLE CENTRAL COMMUNITY COLLEGE,0.0
1899,SEATTLE PACIFIC UNIVERSITY,2.4
1900,SEATTLE UNIVERSITY,2.3
1901,SHORELINE COMMUNITY COLLEGE,10.5
1902,SKAGIT VALLEY COLLEGE,16.8
1903,SPOKANE COMMUNITY COLLEGE,17.3
1904,SAINT MARTIN'S UNIVERSITY,6.2
1905,TACOMA COMMUNITY COLLEGE,16.8
1906,UNIVERSITY OF PUGET SOUND,1.1
1907,UNIVERSITY OF WASHINGTON - SEATTLE,3.1
1908,WALLA WALLA UNIVERSITY,5.3
1909,WASHINGTON STATE UNIVERSITY,5.7
1910,WENATCHEE VALLEY COLLEGE,16.6
1911,WESTERN WASHINGTON UNIVERSITY,2.7
1912,WHITMAN COLLEGE,1.4
1913,WHITWORTH UNIVERSITY,2.2
1914,YAKIMA VALLEY COMMUNITY COLLEGE,20.3
1915,ALDERSON BROADDUS COLLEGE,10.2
1916,BETHANY COLLEGE,10.9
1917,BLUEFIELD STATE COLLEGE,17.7
1918,CONCORD UNIVERSITY,16.0
1919,DAVIS & ELKINS COLLEGE,12.3
1920,FAIRMONT STATE UNIVERSITY,13.7
1921,GLENVILLE STATE COLLEGE,14.6
1922,MARSHALL UNIVERSITY,9.9
1923,SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,22.1
1924,UNIVERSITY OF CHARLESTON,14.1
1925,OHIO VALLEY UNIVERSITY,10.2
1926,SALEM INTERNATIONAL UNIVERSITY,22.0
1927,SHEPHERD UNIVERSITY,6.8
1928,WEST LIBERTY UNIVERSITY,15.4
1929,WEST VIRGINIA STATE UNIVERSITY,14.1
1930,WEST VIRGINIA UNIVERSITY,7.6
1931,WEST VIRGINIA UNIVERSITY - PARKERSBURG,24.1
1932,WEST VIRGINIA WESLEYAN COLLEGE,7.4
1933,WHEELING JESUIT UNIVERSITY,6.6
1934,ALVERNO COLLEGE,9.2
1935,BELOIT COLLEGE,2.6
1936,CARDINAL STRITCH UNIVERSITY,7.6
1937,CARROLL UNIVERSITY,3.5
1938,CARTHAGE COLLEGE,4.0
1939,WESTERN TECHNICAL COLLEGE,13.2
1940,CONCORDIA UNIVERSITY - WISCONSIN,4.3
1941,EDGEWOOD COLLEGE,2.5
1942,SILVER LAKE COLLEGE OF THE HOLY FAMILY,2.6
1943,LAKELAND COLLEGE,5.1
1944,LAWRENCE UNIVERSITY OF WISCONSIN,1.7
1945,MARIAN UNIVERSITY,4.8
1946,MARQUETTE UNIVERSITY,1.9
1947,MILWAUKEE AREA TECHNICAL COLLEGE,19.0
1948,MILWAUKEE SCHOOL OF ENGINEERING,5.0
1949,MOUNT MARY COLLEGE,5.8
1950,NASHOTAH HOUSE,6.6
1951,NORTHLAND COLLEGE,4.5
1952,RIPON COLLEGE,3.1
1953,SAINT NORBERT COLLEGE,3.0
1954,UNIVERSITY OF WISCONSIN - MADISON,1.4
1955,UNIVERSITY OF WISCONSIN - MILWAUKEE,5.7
1956,UNIVERSITY OF WISCONSIN COLLEGES,8.5
1957,UNIVERSITY OF WISCONSIN - GREEN BAY,4.2
1958,VITERBO UNIVERSITY,6.1
1959,UNIVERSITY OF WISCONSIN - STOUT,3.5
1960,UNIVERSITY OF WISCONSIN - EAU CLAIRE,2.3
1961,UNIVERSITY OF WISCONSIN - LACROSSE,2.2
1962,UNIVERSITY OF WISCONSIN - OSHKOSH,3.5
1963,UNIVERSITY OF WISCONSIN - PLATTEVILLE,4.5
1964,UNIVERSITY OF WISCONSIN - RIVER FALLS,4.2
1965,UNIVERSITY OF WISCONSIN - STEVENS POINT,3.8
1966,UNIVERSITY OF WISCONSIN - SUPERIOR,9.2
1967,UNIVERSITY OF WISCONSIN - WHITEWATER,4.5
1968,CASPER COLLEGE,13.5
1969,EASTERN WYOMING COLLEGE,23.2
1970,NORTHERN WYOMING COMMUNITY COLLEGE DISTRICT,12.5
1971,NORTHWEST COLLEGE,10.7
1972,UNIVERSITY OF WYOMING,4.9
1973,WESTERN WYOMING COMMUNITY COLLEGE,18.8
1974,UNIVERSITY OF GUAM,12.1
1975,PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO (THE),22.6
1976,UNIVERSITY OF THE SACRED HEART,21.1
1977,INTER AMERICAN UNIVERSITY OF PUERTO RICO,27.9
1978,UNIVERSIDAD DEL ESTE,20.7
1979,UNIVERSITY OF PUERTO RICO - CENTRAL ADMINISTRATION,12.4
1980,UNIVERSITY OF PUERTO RICO - HUMACAO UNIVERSITY COLLEGE,12.5
1981,UNIVERSITY OF PUERTO RICO - MAYAGUEZ,12.5
1982,UNIVERSITY OF THE VIRGIN ISLANDS,8.1
1983,"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",2.0
1984,SAN FRANCISCO ART INSTITUTE,8.2
1985,UNIVERSITY OF CENTRAL FLORIDA,7.5
1986,UNIVERSITY OF WEST FLORIDA (THE),7.3
1987,DALTON STATE COLLEGE,21.3
1988,HARPER COLLEGE,18.6
1989,AMERICAN INSTITUTE OF BUSINESS,9.0
1990,BAY STATE COLLEGE,18.6
1991,BOSTON ARCHITECTURAL COLLEGE,7.1
1992,UNIVERSITY OF MINNESOTA - TWIN CITIES,2.5
1993,RABBINICAL ACADEMY MESIVTA RABBI CHAIM BERLIN,0.0
1994,RABBINICAL SEMINARY OF AMERICA,0.0
1995,"TEACHERS COLLEGE, COLUMBIA UNIVERSITY",2.3
1996,UNIVERSITY OF NORTH CAROLINA SCHOOL OF THE ARTS,6.4
1997,CLEVELAND INSTITUTE OF ART (THE),5.8
1998,ORAL ROBERTS UNIVERSITY,8.3
1999,DESALES UNIVERSITY,3.3
2000,LA ROCHE COLLEGE,6.7
2001,NEUMANN UNIVERSITY,8.7
2002,FLORENCE - DARLINGTON TECHNICAL COLLEGE,11.8
2003,GREENVILLE TECHNICAL COLLEGE,14.7
2004,PIEDMONT TECHNICAL COLLEGE,12.5
2005,MIDLANDS TECHNICAL COLLEGE,13.0
2006,SPARTANBURG COMMUNITY COLLEGE,11.2
2007,CENTRAL CAROLINA TECHNICAL COLLEGE,14.0
2008,YORK TECHNICAL COLLEGE,13.2
2009,CHATTANOOGA STATE COMMUNITY COLLEGE,26.6
2010,CLEVELAND STATE COMMUNITY COLLEGE,21.0
2011,CENTRAL TEXAS COLLEGE DISTRICT,19.3
2012,JOHN TYLER COMMUNITY COLLEGE,15.6
2013,MADISON AREA TECHNICAL COLLEGE,9.5
2014,MESABI RANGE COMMUNITY AND TECHNICAL COLLEGE,25.0
2015,HEBREW UNIVERSITY OF JERUSALEM (THE),4.1
2016,GEORGIA NORTHWESTERN TECHNICAL COLLEGE,0.0
2017,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY - KNOXVILLE,0.0
2018,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY - CROSSVILLE,0.0
2019,UTAH VALLEY UNIVERSITY,5.7
2020,UNIVERSITY OF CAMBRIDGE,0.0
2021,ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE,11.7
2022,HEBREW UNION COLLEGE - JEWISH INSTITUTE OF RELIGION,0.0
2023,NORTH AMERICAN BAPTIST SEMINARY,8.5
2024,NATIONAL AMERICAN UNIVERSITY,22.9
2025,GRATZ COLLEGE,2.1
2026,WINEBRENNER THEOLOGICAL SEMINARY,0.0
2027,PITT COMMUNITY COLLEGE,12.8
2028,UNIVERSITY OF MINNESOTA - CROOKSTON,7.0
2029,WALSH COLLEGE OF ACCOUNTANCY & BUSINESS ADMINISTRATION,3.4
2030,NORTHWOOD UNIVERSITY,12.8
2031,EASTERN IOWA COMMUNITY COLLEGE DISTRICT,15.0
2032,KIRKWOOD COMMUNITY COLLEGE,15.0
2033,STARR KING SCHOOL FOR THE MINISTRY,5.5
2034,GRADY HEALTH SYSTEM,0.0
2035,SAINT LUKE'S METHODIST HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,0.0
2036,MERCY HOSPITAL SPRINGFIELD SCHOOL OF RADIOLOGIC TECHNOLOGY,0.0
2037,REGIONAL WEST MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHNOLOGY,0.0
2038,MONTGOMERY COUNTY COMMUNITY COLLEGE,13.3
2039,EL CENTRO COLLEGE,13.9
2040,TUCSON COLLEGE,23.1
2041,DE ANZA COMMUNITY COLLEGE,17.0
2042,OHLONE COLLEGE,14.1
2043,JOHN F. KENNEDY UNIVERSITY,5.8
2044,EVEREST COLLEGE,32.6
2045,CITY COLLEGE OF SAN FRANCISCO,20.3
2046,EVEREST COLLEGE,28.0
2047,COLORADO MOUNTAIN COLLEGE,14.1
2048,EVEREST COLLEGE,34.9
2049,UNIVERSITY OF COLORADO DENVER,5.2
2050,UNIVERSITY OF COLORADO AT COLORADO SPRINGS,7.8
2051,HOUSATONIC COMMUNITY COLLEGE,14.7
2052,LEEWARD COMMUNITY COLLEGE,18.6
2053,GEM CITY COLLEGE,14.8
2054,MIDSTATE COLLEGE,19.5
2055,INTERNATIONAL BUSINESS COLLEGE,13.4
2056,KAPLAN UNIVERSITY,25.9
2057,NORTHEAST IOWA COMMUNITY COLLEGE,11.6
2058,HAWKEYE COMMUNITY COLLEGE,14.1
2059,IOWA WESTERN COMMUNITY COLLEGE,16.6
2060,NORTHWEST IOWA COMMUNITY COLLEGE,9.6
2061,BARTON COUNTY COMMUNITY COLLEGE,12.7
2062,NATIONAL COLLEGE OF BUSINESS AND TECHNOLOGY,14.7
2063,SPENCERIAN COLLEGE,26.9
2064,SULLIVAN UNIVERSITY,25.2
2065,AYERS CAREER COLLEGE,5.1
2066,DELGADO COMMUNITY COLLEGE,18.9
2067,DUNWOODY COLLEGE OF TECHNOLOGY,17.5
2068,GLOBE UNIVERSITY,12.7
2069,MINNEAPOLIS BUSINESS COLLEGE,11.5
2070,MINNESOTA SCHOOL OF BUSINESS,17.1
2071,CHESAPEAKE COLLEGE,0.0
2072,HAMPSHIRE COLLEGE,0.0
2073,SALTER COLLEGE,13.8
2074,SCHOOL OF THE MUSEUM OF FINE ARTS,6.4
2075,UPPER CAPE COD REGIONAL TECHNICAL SCHOOL,9.0
2076,BAKER COLLEGE,18.8
2077,DORSEY SCHOOL OF BUSINESS,25.2
2078,LOGAN COLLEGE OF CHIROPRACTIC,1.1
2079,COVENANT THEOLOGICAL SEMINARY,0.0
2080,LINN STATE TECHNICAL COLLEGE,11.6
2081,THREE RIVERS COMMUNITY COLLEGE,21.6
2082,MOUNT WASHINGTON COLLEGE,16.7
2083,DANIEL WEBSTER COLLEGE,7.0
2084,BERGEN COMMUNITY COLLEGE,15.3
2085,MERCER COUNTY COMMUNITY COLLEGE,14.9
2086,CENTRAL NEW MEXICO COMMUNITY COLLEGE,13.4
2087,CLOVIS COMMUNITY COLLEGE,18.1
2088,CUNY YORK COLLEGE,7.2
2089,CUNY GRADUATE SCHOOL & UNIVERSITY CENTER,4.3
2090,CENTRAL YESHIVA TOMCHEI TMIMIM LUBAVITZ,0.0
2091,HERKIMER COUNTY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLL,14.2
2092,MIRRER YESHIVA CENTRAL INSTITUTE,0.0
2093,MONROE COLLEGE,8.9
2094,EVEREST INSTITUTE,32.9
2095,CALDWELL COMMUNITY COLLEGE & TECHNICAL INSTITUTE,11.7
2096,GUILFORD TECHNICAL COMMUNITY COLLEGE,19.0
2097,WAKE TECHNICAL COMMUNITY COLLEGE,11.6
2098,WILSON COMMUNITY COLLEGE,0.0
2099,CLARK STATE COMMUNITY COLLEGE,18.8
2100,BRADFORD SCHOOL,17.1
2101,DAVIS COLLEGE,21.5
2102,UNIVERSITY OF NORTHWESTERN OHIO,17.0
2103,STAUTZENBERGER COLLEGE,23.2
2104,CLACKAMAS COMMUNITY COLLEGE,15.3
2105,OREGON HEALTH & SCIENCE UNIVERSITY,1.4
2106,CAMBRIA ROWE BUSINESS COLLEGE,22.6
2107,CENTRAL PENN COLLEGE,9.8
2108,DUBOIS BUSINESS COLLEGE,13.6
2109,ERIE BUSINESS CENTER,31.0
